;Artista;Nazionalità;Studio;Raccolte;Periodo di attività musicale;Etichetta;Genere;Ospite;ig_follower;ig_follower_ospite;Ultime partecipazioni al Festival;gtrend_2018;gtrend_2019;gtrend_2020;gtrend_2021;gtrend_2022;gtrend_2023;Quota
0;Anna Oxa;Italia  Albania;18;3;1978 – in attività;RCA Italiana, CBS, Columbia, Sony BMG, EMI, Cose di Musica e suoni coscienti;Pop;Iljard Shaba;19000.0;21000.0;2011.0;0.574468085106383;0.7307692307692307;0.5192307692307693;0.6923076923076923;0.5961538461538461;0.2;100.0
1;Ariete;Italia;1;1;2019 – in attività;Bomba Dischi, Universal Music;Indie pop;Sangiovanni;535000.0;2000000.0;;0.3617021276595745;0.46153846153846156;3.9038461538461537;13.634615384615385;15.826923076923077;10.4;33.0
2;Articolo 31;;7;2;1990 – 2006 2018 – in attività;;Hip hop[1][2];Fedez;3000000.0;15000000.0;;0.5319148936170213;0.5192307692307693;0.2692307692307692;0.5;0.3269230769230769;0.2;50.0
3;Colla Zio;;;;2019 – in attività;Woodworm;Pop Hip hop Urban;Ditonellapiaga;11000.0;102000.0;;0.6595744680851063;0.36538461538461536;0.36538461538461536;0.3076923076923077;0.34615384615384615;1.2;50.0
4;Elodie;Italia;3;;2015 – in attività;Universal Music Group;Pop[1];BigMama;3000000.0;327000.0;2020.0;0.8085106382978723;1.7307692307692308;2.1923076923076925;1.3269230769230769;2.076923076923077;1.2;12.0
5;Gianluca Grignani;Italia;10;6;1994 – in attività;Mercury Records, PolyGram, Universal Music Group, Sony Music;Pop rock Rock alternativo;Arisa;199000.0;;2015.0;0.19148936170212766;0.3076923076923077;0.3269230769230769;0.34615384615384615;0.5;0.0;25.0
6;Gianmaria;Italia;;;2020 – in attività;Epic Records, Sony Music;Indie pop Hip hop;Manuel Agnelli;107000.0;198000.0;;0.44680851063829785;0.19230769230769232;0.28846153846153844;0.34615384615384615;0.6730769230769231;0.4;25.0
7;Giorgia;Italia;12;2;1992 – in attività;Dischi di Cioccolata/Sony Music;Pop[1];Elisa;1000000.0;2000000.0;2001.0;4.148936170212766;4.461538461538462;3.6346153846153846;6.076923076923077;10.346153846153847;6.8;3.5
8;Lazza;;;;;;;Emma Marrone;1000000.0;6000000.0;;0.2127659574468085;0.3269230769230769;0.36538461538461536;0.40384615384615385;1.2884615384615385;1.6;10.0
9;Levante;Italia;5;;2009 – in attività;INRI, Warner Music Italy;Pop Pop rock;Renzo Rubino;952000.0;18000.0;2020.0;1.0425531914893618;1.9038461538461537;4.173076923076923;0.9230769230769231;1.2115384615384615;1.8;33.0
10;Madame;Italia;1;;2018 – in attività;Sugar Music;Urban Pop rap;Izi;923000.0;722000.0;2021.0;0.46808510638297873;1.5192307692307692;2.1346153846153846;7.75;3.3653846153846154;13.2;12.0
11;Mara Sattei;Italia;1;;2013 – in attività;Columbia Records, Epic Records, Arista Records;Pop;Noemi;382000.0;663000.0;;0.3404255319148936;0.2692307692307692;0.4230769230769231;0.4423076923076923;0.5;1.4;20.0
12;Marco Mengoni;Italia;7;;2009 – in attività;Sony Music;Pop[1];The Kingdom Choir;2000000.0;74000.0;2013.0;8.382978723404255;7.865384615384615;4.269230769230769;7.134615384615385;10.26923076923077;5.0;3.0
13;Mr. Rain;Italia;4;;2011 – in attività;Atlantic Records/Warner Music Italy;Pop rap;Fasma;355000.0;207000.0;;0.0;0.0;0.0;0.0;0.0;0.0;75.0
14;Olly;;;;;;;Lorella Cuccarini;184000.0;688000.0;;4.425531914893617;3.0961538461538463;4.903846153846154;5.153846153846154;4.25;23.4;150.0
15;Rosa Chemical;Italia;1;;2015 – in attività;Thaurus, Universal Music Group;Hip hop Comedy hip hop Trap;Rose Villain;166000.0;;;4.595744680851064;4.9423076923076925;3.0384615384615383;2.519230769230769;6.0576923076923075;7.0;100.0
16;Shari;Italia;;;2016 – in attività;Columbia Records, Sony Music;Pop Soul;Salmo;72000.0;3000000.0;;0.14893617021276595;0.5;0.25;0.25;0.23076923076923078;0.6;150.0
17;Tananai;Italia;2;;2014 – in attività;Universal Music Italia;Indie pop[1] Alternative dance[2];Don Joe;496000.0;345000.0;2022.0;0.2127659574468085;0.28846153846153844;0.23076923076923078;0.34615384615384615;1.3076923076923077;0.6;25.0
18;Ultimo;Italia;4;;2016 – in attività;Honiro Label (2016-2020) Ultimo Records (2020-in corso);Pop[1];Eros Ramazzotti;66000.0;2000000.0;2019.0;6.74468085106383;8.538461538461538;4.326923076923077;3.3076923076923075;5.115384615384615;4.4;3.5
19;Will;Italia;;;2019 – in attività;Capitol Records, Universal Music Group;Pop;Michele Zarrillo;39000.0;23000.0;;0.5106382978723404;0.40384615384615385;0.36538461538461536;0.40384615384615385;0.7115384615384616;1.8;150.0
